HasContrast;Mean;Median;StdDev;Min;Max;Skewness;Kurtosis;Percentile_25;Percentile_75;Entropy
1;89,094;75,225;63,301;0,638;255;0,711;-0,235;34,425;134,512;4,3
0;82,828;72,038;56,898;0,638;255;0,895;0,584;34,425;122,4;4,179
0;97,303;94,35;65,479;0,638;255;0,81;0,097;39,525;135,15;4,156
0;102,833;94,35;68,738;0,638;255;0,68;-0,25;46,538;143,438;4,311
0;92,209;82,875;64,031;0,638;255;0,778;0,016;36,975;134,512;4,251
0;100,803;102;63,876;0,638;255;0,65;-0,069;43,35;138,338;4,267
0;108,579;114,112;64,995;0,638;255;0,695;0,039;49,088;138,338;4,056
0;94,41;87,338;64,354;0,638;255;0,736;-0,048;38,887;135,788;4,304
1;84,775;57,375;67,003;0,638;255;1,023;0,249;30,6;127,5;4,132
0;80,541;61,2;59,702;0,638;255;0,907;0,277;31,875;123,675;4,257
0;82,449;63,75;59,696;0,638;255;0,937;0,41;33,15;124,312;4,197
1;102,223;94,35;71,147;0,638;255;0,754;-0,328;40,162;140,888;4,214
0;88,874;74,587;63,885;0,638;255;0,889;0,254;38,25;128,775;4,313
0;78,089;52,912;60,384;0,638;255;0,998;0,405;29,962;123,038;4,165
0;107,848;107,738;58,908;0,638;255;0,534;0,067;61,2;142,162;4,337
0;85,579;64,388;57,693;0,638;255;0,93;0,39;36,338;129,412;3,996
0;73,715;54,825;57,044;0,638;255;1,115;1,032;28,688;112,2;4,182
0;77,526;54,825;55,027;0,638;255;1,169;1,142;33,788;116,663;4,043
0;93,375;82,238;63,769;0,638;255;0,836;0,201;42,075;131,962;4,313
0;82,727;66,938;60,304;0,638;255;0,98;0,553;34,425;121,762;4,272
0;86,47;70,762;63,321;0,638;255;0,981;0,471;36,975;124,312;4,289
0;84,834;68,212;62,633;0,638;255;0,954;0,347;35,062;124,312;4,311
0;83,615;68,85;58,766;0,638;255;0,99;0,67;35,7;121,762;4,232
0;88,522;75,225;60,94;0,638;255;0,874;0,272;38,25;128,137;4,299
0;105,043;110,925;56,682;0,638;255;0,613;0,182;53,55;133,875;4,205
